% Model:              3Dmikrofon_4Elektrody_paramUhel_100Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.278
% Date:               Dec 6 2023, 11:56
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
0                         -167.93688697118955      -167.96205469339776
0.08726646259971647       -167.24486669608638      -168.7887705082024
0.17453292519943295       -166.66526321867454      -169.77612868731183
0.2617993877991494        -166.1839708731993       -170.96559760863096
0.3490658503988659        -165.7906391564704       -172.42181502408948
0.4363323129985824        -165.47762800991592      -174.25332869787655
0.5235987755982988        -165.23933690973683      -176.66362503230332
0.6108652381980153        -165.07176678335543      -180.10835317526357
0.6981317007977318        -164.9722348761905       -186.03016981659727
0.7155849933176751        -165.0643982672479       -188.4018804793638
0.7330382858376184        -165.05519224161208      -190.98234272268007
0.7504915783575618        -165.04864523937135      -194.67384466266236
0.767944870877505         -165.04475324905758      -201.22839211599054
0.7853981633974483        -164.9391963539149       -219.7531194270244
0.8028514559173916        -165.04492640354843      -199.2496948310394
0.8203047484373349        -165.04899165448376      -193.68704124902285
0.8377580409572782        -165.05571212989554      -190.32479241329244
0.8552113334772214        -165.06509194813935      -187.90880597140324
0.8726646259971648        -164.97214625688002      -186.29419960968232
0.9599310885968813        -165.07158819303845      -180.24089246069053
1.0471975511965976        -165.2390655602358       -176.7525586564528
1.1344640137963142        -165.47725949548547      -174.32063694312842
1.2217304763960306        -165.79016715062434      -172.4762957620913
1.3089969389957472        -166.18338665678584      -171.01165575467638
1.3962634015954636        -166.66455495858702      -169.81628778800186
1.4835298641951802        -167.2440183343606       -168.82461476784087
1.5707963267948966        -167.9358764728753       -167.99464783201248
1.6580627893946132        -168.7596589059745       -167.29802823304013
1.7453292519943295        -169.74313617087589      -166.71485492523533
1.8325957145940461        -170.9273124389321       -166.23078360834177
1.9198621771937625        -172.37598795490442      -165.83530206700235
2.007128639793479         -174.19603362498776      -165.52065868681893
2.0943951023931953        -176.5870222290814       -165.28117567872766
2.181661564992912         -179.99286961077658      -165.11280132426546
2.2689280275926285        -185.79775015860514      -165.01281889958136
2.2863813201125716        -188.50666374880848      -165.0333687045085
2.303834612632515         -191.12254081594241      -165.02421280695586
2.321287905152458         -194.88572047610515      -165.01770648113518
2.3387411976724017        -201.6601344975981       -165.01384576590885
2.356194490192345         -210.6886199475498       -164.9796647289314
2.3736477827122884        -198.86364704506175      -165.01405336888806
2.3911010752322315        -193.48740119025817      -165.01812181316026
2.4085543677521746        -190.19026333692096      -165.0248361204706
2.426007660272118         -187.8073670067258       -165.03420037894386
2.443460952792061         -186.5320517100595       -165.01282826323188
2.530727415391778         -180.36167160139198      -165.11282021387868
2.6179938779914944        -176.83442536769147      -165.28120442890884
2.705260340591211         -174.38318460965317      -165.5206978258008
2.792526803190927         -172.52737037542727      -165.83535235246603
2.8797932657906435        -171.0551859858395       -166.23084608333997
2.9670597283903604        -169.85452414816723      -166.71493100406445
3.0543261909900767        -168.85896970679227      -167.29811983417522
3.141592653589793         -168.0260693225681       -167.99475758911242
3.2288591161895095        -167.32718674605707      -168.824746377622
3.3161255787892263        -166.74224561262412      -169.81644661390624
3.4033920413889427        -166.25678613470438      -171.01184994715487
3.490658503988659         -165.86021769263738      -172.47653853114844
3.5779249665883754        -165.54473442060976      -174.32095176687142
3.6651914291880923        -165.30462075895701      -176.752993547078
3.7524578917878086        -165.13579901317172      -180.24157216495922
3.839724354387525         -165.03553538562187      -186.29567128775435
3.857177646907468         -165.0253997940781       -188.07543262745142
3.8746309394274117        -165.01623511827577      -190.54557632523614
3.8920842319473548        -165.00971753744597      -194.01383661892123
3.9095375244672983        -165.00584308658142      -199.87740336939464
3.9269908169872414        -165.00225628434433      -220.0932076292886
3.944444109507185         -165.00601575773743      -200.48468990803002
3.961897402027128         -165.0100629844112       -194.31816353082462
3.9793506945470716        -165.01675355064268      -190.7487451931789
3.9968039870670147        -165.02609152683547      -188.22806109016216
4.014257279586958         -165.03544745322802      -186.0290476187796
4.101523742186674         -165.13562177695576      -180.10774960596055
4.1887902047863905        -165.30435139016416      -176.66321591791552
4.276056667386108         -165.54436844964357      -174.2530223090101
4.363323129985824         -165.85974870164364      -172.42157296937302
4.4505895925855405        -166.25620527864328      -170.96540025508045
4.537856055185257         -166.74154088651574      -169.7759646876929
4.625122517784973         -167.32634185497105      -168.78863274320446
4.71238898038469          -168.02506189649972      -167.96193842974586
4.799655442984406         -168.85776837438027      -167.26783530674751
4.886921905584122         -169.85308349403763      -166.68661954810491
4.974188368183839         -171.05343727378477      -166.20407666996016
5.061454830783556         -172.52520294265426      -165.80978247946814
5.1487212933832724        -174.38040388081535      -165.49604614249628
5.235987755982989         -176.83064046303207      -165.25723203649488
5.323254218582705         -180.35589958878995      -165.08931725893206
5.410520681182422         -186.5203140093214       -164.98960379003594
5.427973973702365         -187.94393982314088      -165.05594943931516
5.445427266222308         -190.37028443828046      -165.0467695567528
5.462880558742252         -193.75110002247203      -165.04024615259425
5.480333851262195         -199.35472326232528      -165.0363752332927
5.497787143782138         -210.90053158453318      -164.95653848662988
5.515240436302081         -201.00302353296595      -165.03658301414535
5.532693728822025         -194.58037462016873      -165.04066184143537
5.550147021341968         -190.9240158514029       -165.04739340816698
5.567600313861911         -188.35969410100913      -165.05678183595708
5.585053606381854         -186.38423445111212      -165.06883287694149
