% Model:              3Dmikrofon_4Elektrody_paramUhel_1000Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 3 2024, 08:41
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
0                         -155.60221332138707      -155.58297248677314
0.08726646259971647       -154.9027022576399       -156.41370328987617
0.17453292519943295       -154.3167724107844       -157.40543294341123
0.2617993877991494        -153.8301479226625       -158.59976525272776
0.3490658503988659        -153.43238386027582      -160.06165138054936
0.4363323129985824        -153.11579114541365      -161.90034858380795
0.5235987755982988        -152.87474694061868      -164.321097853261
0.6108652381980153        -152.7052446396185       -167.78493366498475
0.6981317007977318        -152.60460105728515      -173.7615502768476
0.7155849933176751        -152.3461437478352       -175.45164676881393
0.7330382858376184        -152.33683298778658      -177.92772713245782
0.7504915783575618        -152.3301874261473       -181.40609466438494
0.767944870877505         -152.32620310471574      -187.28654177481184
0.7853981633974483        -152.57127325229612      -214.29422329075175
0.8028514559173916        -152.32621028365284      -187.6967573169583
0.8203047484373349        -152.33020178785998      -181.6130081893557
0.8377580409572782        -152.33685453996014      -178.06587846832588
0.8552113334772214        -152.34617250202035      -175.55530094844127
0.8726646259971648        -152.6047578790337       -173.8067699016797
0.9599310885968813        -152.70555910525263      -167.8075057834801
1.0471975511965976        -152.875220788502        -164.33610388425197
1.1344640137963142        -153.11642723028217      -161.91156066527236
1.2217304763960306        -153.4331864862242       -160.0705798842317
1.3089969389957472        -153.831123357396        -158.60716694828938
1.3962634015954636        -154.31792966475578      -157.41174192287414
1.4835298641951802        -154.90405427346255      -156.4191925700219
1.5707963267948966        -155.6037788343125       -155.58782583778807
1.6580627893946132        -156.4369483319908       -154.8894942813621
1.7453292519943295        -157.43188097271093      -154.30446063733277
1.8325957145940461        -158.630555978313        -153.81851407131276
1.9198621771937625        -160.09860254391313      -153.42125365883552
2.007128639793479         -161.9466372424731       -153.10502061318488
2.0943951023931953        -164.38307947812686      -152.86421298626348
2.181661564992912         -167.87852434500027      -152.69483827713896
2.2689280275926285        -173.95073853557426      -152.59422221625618
2.2863813201125716        -175.1966782807866       -152.37102878924264
2.303834612632515         -177.58645763070248      -152.36165749891916
2.321287905152458         -180.88987671983642      -152.35495871519723
2.3387411976724017        -186.23743670153198      -152.3509284369729
2.356194490192345         -206.711629550672        -152.56082652115464
2.3736477827122884        -188.5087262458934       -152.35086538117935
2.3911010752322315        -182.06874922554357      -152.35483257597122
2.4085543677521746        -178.37799940018783      -152.36146822091038
2.426007660272118         -175.79197431848593      -152.3707762892427
2.443460952792061         -173.61653962136515      -152.59414871417843
2.530727415391778         -167.71087440196254      -152.6946901313585
2.6179938779914944        -164.27069851404596      -152.86398783670225
2.705260340591211         -161.86169924316414      -153.10471471773067
2.792526803190927         -160.02997090508825      -153.42086162067557
2.8797932657906435        -158.57265557342987      -153.81802841656753
2.9670597283903604        -157.38151854992773      -154.3038711723272
3.0543261909900767        -156.39211997083825      -154.888787105803
3.141592653589793         -155.56313971354274      -155.58698179034246
3.2288591161895095        -154.86665331455745      -156.41818468311374
3.3161255787892263        -154.28306451759022      -157.41053103412017
