% Model:              3Dmikrofon_4Elektrody_paramUhel_500Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 3 2024, 08:48
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
0                         -150.1043464119954       -150.16700476031116
0.08726646259971647       -149.41028787356578      -150.99962637207952
0.17453292519943295       -148.8291321926306       -151.99496157921945
0.2617993877991494        -148.34666054725966      -153.1954892014471
0.3490658503988659        -147.9524455163204       -154.66767296550353
0.4363323129985824        -147.63879391187183      -156.52372409686475
0.5235987755982988        -147.40006850667024      -158.9757054466829
0.6108652381980153        -147.23224548482352      -162.50512097287475
0.6981317007977318        -147.13262659118183      -168.68533978248192
0.7155849933176751        -146.98795975495747      -169.04673877957208
0.7330382858376184        -146.9787074696697       -171.18478999124576
0.7504915783575618        -146.9720744329281       -174.02493638493775
0.767944870877505         -146.968056669359        -178.25074950284883
0.7853981633974483        -147.09965914451956      -194.9546270600992
0.8028514559173916        -146.96785890394182      -188.10241323802813
0.8203047484373349        -146.97167878149355      -178.9405743950955
0.8377580409572782        -146.97811369072514      -174.44873602047852
0.8552113334772214        -146.9871674855319       -171.49150579929557
0.8726646259971648        -147.13283719921498      -167.9306879818937
0.9599310885968813        -147.23267008336245      -162.12553743112213
1.0471975511965976        -147.40071406863495      -158.72002782574452
1.1344640137963142        -147.6396714448922       -156.32917722867012
1.2217304763960306        -147.95357080669172      -154.50912868056528
1.3089969389957472        -148.34805531829855      -153.0603603472976
1.3962634015954636        -148.83082587559971      -151.87602977614918
1.4835298641951802        -149.41232033585453      -150.89235205285934
1.5707963267948966        -150.1067722609203       -150.068330995375
1.6580627893946132        -150.93391312911382      -149.37619975875646
1.7453292519943295        -151.9218314221309       -148.79642982950426
1.8325957145940461        -153.11206099689         -148.31492075553376
1.9198621771937625        -154.5693535779646       -147.92132421027705
2.007128639793479         -156.40247610747457      -147.60800018113463
2.0943951023931953        -158.8153990951891       -147.36934656335103
2.181661564992912         -162.265089435376        -147.20136132615553
2.2689280275926285        -168.19923399893625      -147.10135744716766
