% Model:              TEST_3Dmikrofon_4Elektrody_paramUhel_5000Hz_2px_fullMesh_PHedit_GapPress_Rt0p5mm.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 11 2024, 08:24
% Dimension:          1
% Nodes:              72
% Expressions:        2
% Description:        Global
% theta                   1-3, 2-4                 1-3, 2-4
0                         -179.57246561571776      -179.56554765227068
0.08726646259971647       -179.696799412087        -179.6467407408237
0.17453292519943295       -179.99383702467708      -179.97116315202445
0.2617993877991494        -180.4278815224488       -180.58507321994654
0.3490658503988659        -180.9568689353408       -181.55574696429238
0.4363323129985824        -181.52922619236887      -182.99336995071639
0.5235987755982988        -182.08299442928842      -185.10341212343846
0.6108652381980153        -182.54924865689574      -188.34712895151765
0.6981317007977318        -182.86154437485098      -194.19654899914008
0.7155849933176751        -183.03887702497687      -195.55408658043942
0.7330382858376184        -183.07073227158557      -197.90832378880367
0.7504915783575618        -183.09364164992232      -201.16538492980212
0.767944870877505         -183.10745134384956      -206.4514167158108
0.7853981633974483        -182.9704330835437       -237.3598470430318
0.8028514559173916        -183.10746143927662      -209.67731521864908
0.8203047484373349        -183.09366219356065      -202.77729260118676
0.8377580409572782        -183.07076395926347      -198.9834425330952
0.8552113334772214        -183.03892087659         -196.36116786980045
0.8726646259971648        -182.85756479463555      -194.22202530585105
0.9599310885968813        -182.54161503243944      -188.36225861215195
1.0471975511965976        -182.07225614561406      -185.11624996945528
1.1344640137963142        -181.51601198618897      -183.00603672057701
1.2217304763960306        -180.94176494803327      -181.56921101469936
1.3089969389957472        -180.41136124742212      -180.59994677921608
1.3962634015954636        -179.97623662161143      -179.98792729797952
1.4835298641951802        -179.67831743718517      -179.66582413529198
1.5707963267948966        -179.5531676211213       -179.58735075128038
1.6580627893946132        -179.6341920460333       -179.71609796962036
1.7453292519943295        -179.95772123871734      -180.0186283790546
1.8325957145940461        -180.5698383993374       -180.45932369607823
1.9198621771937625        -181.53740839870179      -180.99610281264694
2.007128639793479         -182.96970757913627      -181.57718084425153
2.0943951023931953        -185.0700076593466       -182.14007946152944
2.181661564992912         -188.2929132921177       -182.61497829930914
2.2689280275926285        -194.07736480551407      -182.93423995744314
2.2863813201125716        -196.42725464682957      -182.92857617897695
2.303834612632515         -199.069012271451        -182.95868797635623
2.321287905152458         -202.90620666611514      -182.98000406067945
2.3387411976724017        -209.97810631599432      -182.9923804772023
2.356194490192345         -229.13627770463592      -183.04722537993956
2.3736477827122884        -206.33148389307104      -182.99003506627827
2.3911010752322315        -201.09922889435984      -182.97532444140828
2.4085543677521746        -197.8648709172126       -182.95169637095827
2.426007660272118         -195.52297701165304      -182.9193054693333
2.443460952792061         -194.37643905153553      -182.93483538590093
2.530727415391778         -188.45000191483254      -182.615750194587
2.6179938779914944        -185.18321266809454      -182.14035713617616
2.705260340591211         -183.06365129394112      -181.57625764825954
2.792526803190927         -181.62206136931025      -180.99338600791657
2.8797932657906435        -180.6503299498526       -180.45438743981921
2.9670597283903604        -180.0371475720426       -180.01119886386064
3.0543261909900767        -179.71467020109867      -179.70600865798644
3.141592653589793         -179.63629713256654      -179.57449004197255
3.2288591161895095        -179.76539147978397      -179.65008112383683
3.3161255787892263        -180.06831710292832      -179.96912915684686
3.4033920413889427        -180.50925308831683      -180.57776900605475
3.490658503988659         -181.04589462112588      -181.54301728281882
3.5779249665883754        -181.62621425334035      -182.9745335707255
3.6651914291880923        -182.18750623328202      -185.07657910380584
3.7524578917878086        -182.65981590894583      -188.30683836048095
3.839724354387525         -182.97557524988846      -194.1197137897953
3.857177646907468         -182.81783418811384      -196.1381843843858
3.8746309394274117        -182.84875657020723      -198.68690295267328
3.8920842319473548        -182.8709803411864       -202.32912259785448
3.9095375244672983        -182.88435834141976      -208.74034774699197
3.9269908169872414        -183.08449812606796      -234.4758037238841
3.944444109507185         -182.88428147803512      -207.18574482997994
3.961897402027128         -182.87082813442873      -201.55080904677038
3.9793506945470716        -182.8485320314422       -198.16834402819015
3.9968039870670147        -182.8175417638113       -195.74973643227295
4.014257279586958         -182.96807596870988      -194.28716151168967
4.101523742186674         -182.64562029395591      -188.39100911539953
4.1887902047863905        -182.16795942732097      -185.1331103452944
4.276056667386108         -181.60283754684252      -183.01723729932743
4.363323129985824         -181.02008416864763      -181.57730073654102
4.4505895925855405        -180.48211689001397      -180.60619610711538
4.537856055185257         -180.04063122036203      -179.99299966362662
4.625122517784973         -179.7376221091814       -179.67001187611655
4.71238898038469          -179.6086420534748       -179.59066219269988
4.799655442984406         -179.68709026263983      -179.7182822405494
4.886921905584122         -180.0093695023686       -180.01917274117474
4.974188368183839         -180.6217997922979       -180.45744608193317
5.061454830783556         -181.59180486401618      -180.99076600753205
5.1487212933832724        -183.02991924001145      -181.56716632799936
5.235987755982989         -185.1424981392929       -182.1241675433947
5.323254218582705         -188.3935544711341       -182.5922632059098
5.410520681182422         -194.26912465234662      -182.9045338204391
5.427973973702365         -195.5591905046997       -182.87650543601416
5.445427266222308         -197.9030638428102       -182.90741686889064
5.462880558742252         -201.12993383763984      -182.92954696696793
5.480333851262195         -206.2718263642111       -182.94274713801232
5.497787143782138         -237.36799985613442      -183.01138334164222
5.515240436302081         -209.1905982250569       -182.94205902981187
5.532693728822025         -202.675118033966        -182.928172060573
5.550147021341968         -198.94563689369733      -182.9053577708857
5.567600313861911         -196.345796154857        -182.87376602292963
5.585053606381854         -194.1793800512038       -182.894773391622
5.672320068981571         -188.34548449057337      -182.57406292787869
5.759586531581287         -185.1067935985866       -182.09971341356376
5.846852994181004         -182.99912250271504      -181.53888402839596
5.934119456780721         -181.56276821158383      -180.96082521094814
6.021385919380437         -180.59274570602807      -180.4275118336761
6.1086523819801535        -179.97903292267466      -179.9903587255872
6.19591884457987          -179.6543783472363       -179.69120967678177
